A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,label
feat:_0,180.0,49.0,feat:_2,feat:_2,feat:_4,15.0,feat:_0,feat:_0,1.0,feat:_1,feat:_2,1.0,1.0,0
feat:_0,186.0,26.0,feat:_2,feat:_4,feat:_5,26.0,feat:_1,feat:_1,4.0,feat:_1,feat:_2,75.0,1.0,0
feat:_0,88.0,66.0,feat:_1,feat:_3,feat:_5,81.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,69.0,111.0,0
feat:_0,93.0,95.0,feat:_2,feat:_9,feat:_4,26.0,feat:_0,feat:_0,1.0,feat:_1,feat:_2,117.0,7.0,0
feat:_1,283.0,91.0,feat:_2,feat:_14,feat:_5,3.0,feat:_0,feat:_0,1.0,feat:_1,feat:_2,156.0,1.0,0
feat:_0,109.0,55.0,feat:_2,feat:_5,feat:_3,1.0,feat:_0,feat:_0,1.0,feat:_1,feat:_2,97.0,2.0,0
feat:_1,77.0,1.0,feat:_2,feat:_4,feat:_4,26.0,feat:_0,feat:_1,12.0,feat:_0,feat:_1,1.0,1.0,0
feat:_1,135.0,193.0,feat:_2,feat:_2,feat:_4,4.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,1.0,93.0,0
feat:_1,106.0,30.0,feat:_2,feat:_4,feat:_4,10.0,feat:_0,feat:_1,3.0,feat:_1,feat:_2,60.0,4.0,0
feat:_0,38.0,6.0,feat:_2,feat:_11,feat:_4,2.0,feat:_0,feat:_0,1.0,feat:_1,feat:_2,124.0,1.0,0
feat:_1,253.0,8.0,feat:_2,feat:_3,feat:_8,88.0,feat:_1,feat:_0,1.0,feat:_0,feat:_2,131.0,1.0,1
feat:_1,165.0,199.0,feat:_2,feat:_2,feat:_4,65.0,feat:_1,feat:_1,10.0,feat:_0,feat:_2,87.0,133.0,1
feat:_1,11.0,5.0,feat:_2,feat:_8,feat:_4,5.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,43.0,1.0,0
feat:_0,132.0,82.0,feat:_2,feat:_9,feat:_4,23.0,feat:_1,feat:_0,1.0,feat:_0,feat:_1,98.0,1.0,1
feat:_1,80.0,46.0,feat:_2,feat:_8,feat:_8,35.0,feat:_1,feat:_0,1.0,feat:_0,feat:_2,137.0,77.0,1
feat:_1,159.0,75.0,feat:_2,feat:_8,feat:_4,58.0,feat:_0,feat:_1,3.0,feat:_1,feat:_2,53.0,33.0,0
feat:_1,167.0,66.0,feat:_2,feat:_6,feat:_4,104.0,feat:_1,feat:_0,1.0,feat:_1,feat:_2,157.0,1.0,0
feat:_1,56.0,127.0,feat:_2,feat:_6,feat:_4,35.0,feat:_1,feat:_1,2.0,feat:_0,feat:_2,24.0,227.0,1
feat:_1,284.0,116.0,feat:_2,feat:_4,feat:_4,2.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,1.0,196.0,1
feat:_1,197.0,66.0,feat:_1,feat:_9,feat:_4,65.0,feat:_0,feat:_0,1.0,feat:_0,feat:_1,69.0,1.0,0
feat:_1,207.0,15.0,feat:_1,feat:_9,feat:_4,8.0,feat:_0,feat:_0,1.0,feat:_1,feat:_2,104.0,3.0,0
feat:_1,16.0,119.0,feat:_2,feat:_3,feat:_4,4.0,feat:_0,feat:_0,1.0,feat:_0,feat:_2,18.0,50.0,0
feat:_0,100.0,37.0,feat:_2,feat:_11,feat:_4,32.0,feat:_1,feat:_1,3.0,feat:_0,feat:_2,69.0,1.0,0
feat:_0,152.0,43.0,feat:_2,feat:_9,feat:_8,2.0,feat:_0,feat:_1,4.0,feat:_0,feat:_2,1.0,29.0,0
feat:_1,192.0,92.0,feat:_2,feat:_3,feat:_5,71.0,feat:_1,feat:_1,3.0,feat:_0,feat:_2,96.0,126.0,1
feat:_1,42.0,165.0,feat:_2,feat:_8,feat:_4,47.0,feat:_0,feat:_0,1.0,feat:_1,feat:_2,44.0,1.0,0
